"Username","Comment"
"Ron pay","Kung bumili ka ng piso na lugaw kalahating sa bowl, napa gastos ang may ari sa pag hugas ng bowl, ng kutsara tubig dish washing soap labor ng mag hugas talo negosyo."
"Eliza Santiago","Salamat2 po tatay mglulugaw nkakaunawa k"
"Bongz Fernandez","Oo Mahal n gulay,Kane,Manok,isda ang problema. Madaya pa timbanga Sana update ng dti lahat ng timbanga.pag nang daya kulong na"
"regieds","Simula lang po to ng golden age natin. Unite lang po sa sacrifices."
"jason delacruz","Mas healthy living ang gulay kesa sa karne."
"KembotMo","ate Leila anim anak mo tas solo parent ka pa.. mahihirapan ka talaga nyan! "
"Wow Naman","Palit dollar sa pinas mataas pero sa U.S ang dollar ay dollar lang din. Mga bilihin at tumaas na din. Dati 100 dollar mag grocery ka marami na. Ngayon 100 dollar dipa puno isa plastic bag. Sahod ng iba napupunta lang sa pambili ng gas sasakyan."
"02brave02 Brave","Wala na kami mabibile at wala na kaming makakain tapos di pa makahanap ng trabaho ang idad 35 to 40 years old na ayaw na tangapen para makapag trabaho na gustong gusto pa nameng magtrabaho ano na po balita para sa idad namen sana mabigyan nyo kame ng supporta na para sa pamumuhay namen na idad 35 to 40 years old"
"Johnny Deep","Kaya yan , kaya alam na ninyo importansya ng agriculture!"
"Saveun","FED: ""Slow the economy"""
"Anonymoose","Bakit ganon parang hirap n hirap ang Pilipinas. E may napanood nga ako kahapon may concert ung foreigner s pilipinas sold out ticket pa."
"joca","Ibalik na ang kabayo at kalabaw sa kalsada pang byahe ng pagkain sa malalapit na lugar 
Tapos magbenta narin ng lugaw ang gobyerno sa halagang dos pesos."
"Je Singco","Gwapo ng reporter."
"Ellengay Tagura","Grabe"
"Alden Rides","Ang yumayaman lang ngayon eh yung mga mayayaman at syempre mga taga gobyerno"
"ada manuel","Dyos na ANG GAS, amen!!!! Not to mention, inflation din doon, so isipin mo kung saan lang umiikot ang kanya kanyang mga currency?! Walang mahika, INFLATION LANG (bawi na to!!!!)"
"Aguilar Merlie","Mahal na rin dito sa US hindi lang po ang pilipinas"
"bruzz webb","Dapat wag na gumawa ng ganyan piso prang laruan"
"skipthelou","Unity lng po at mkakasurvive na tayo "
"Maverick 203","Media ang nagpapagulo s pilipinas lahat ng bansa nagtataas  ang pangunahin bilihin hindi lng pinas."
"Bongski Salva","Sa budget nya, kahit paano ay napagkasya pa nya at mahalaga ay masustansya panrin ang nabili nyang pang ulam sa isang araw na pagkain na cguro yan.  Pero yung 15k sa isang buwan, magle-less kp ng pamasahe, renta, at pambayad sa utilities.. pero kung 2 cguro silang nag wo work, baka ok pa din not unless may mga utang pa dahil sa pag aaral ng mga anak at iba pang gastusin cguro.. hayyy buhay..  Wag na lng sana tayong magkasakit pa dahil gastos na naman yan.."
"West Inside","Gumagawa na ng hakbang ang amerika...takot maungusan"
"RiRi Gala","P210 na hakaw, P170 na siomai, P500 na pizza, P200 na fries, P1k na  cake, wala lang."
"Reckless LESSRECK","Sisi na naman tong mga bobong pinoy sa gobyerno, tapos tong mga medya nito halata, malamang taas ng langis at lugmok tayo sa covid"
"Ian Master","Dalawang piso n nga sa amin ang paminta saka dahon ng laurel e.."
"Oler Delgar","Ang 1,000 parang isang Daan,saka ang 1000 nabibili pang isang araw lang ,ang mabibili ng 1000,bigas ,isda lng,tapos pang gabi,bili Naman,,bigas ,isda,kaya pang isang araw nalang dahil sa pagkamahal ng bilihin,"
"Lee De Guzman","wala n pag asa n mging mura bilihin ngayun"
"One Day","Hayop kc yang US dollar na yan pahirap sa philippine toy coins"
"SephTVvlog","20 po siguro di 2 pesos"
"Ranie Sumicad","asan na yung tallano gold, yun lng pag asa natin sa inflation"
"Sinep Mutorcs","Unity lang ng mga tabogo sapat na di baleng gutumin mga patay gutom"
"John Carlos Ferrer","Hindi niyo sinama Ang candy. Haist. Ahahaha."
"Tambayan","ehh kung ganon dapat hindi nalang tayu humingi nang independence sa u.s para maging dolyaar din pera natin gaya nang hawaii"
"Alberto Mariano","Kapag Pinay na blande ang buhok! Tiyak tindira ng alamang, labandera at katulong sa bahay. Dapat ikula ang katawan para pumuti pa."
"mikz","2 pesos na LUGAW!! gnyan baon ko nuong 1995! 2022 na meron parin pala hehe!"
"Ejay Arquillano","Galing NI tatay... Dapat gonon yng mga nag negosyo...... HND puro tubong lugaw"
"Erwin Mana-ay","Anu pa ba eninexpect nyu sa piso"
"Melvin Deondo","hindi yan magegets ng mga pahalang ang bituka!"
"Mark a. p","Hintayin nyo 20 pesos kilo ng bigas.  Sabi daw "
"SadiK Tv","Buong mundo po nagkaroon  ng inflation rate"
"erwindo Saludario","Dapat pag bukurin nAlang ang mayayaman at mahihirap para ramdam ng mga mayayaman kung paano sila yumaman charr"
"the Gift of the Magi","from digong to babym "
"RiRi Gala","Ewan ko bakit nagpapanggap tao na isda at gulay kinakain nila araw araw. Walang ganun sa totoo. Araw araw, karne. At walang nagluluto, puro bili. Sinong tipid sa budget kamo??"
"Drixx V","Di ata ubra yan sa mga Pinoys na mahilig mag Lazada at Shopee."
"Ants Games","haysssss lahat tumaas na sahod nalang nde....paano na?"
"Marcky Ariz","Sa canada 8% na"
"jay ball","Bumili nalang kaya Siya nang chooks to go ..."
"Vilma Rose","Kya pla pamnkin k ayaw pmsok pg 5 piso baon wala ndw mbli .tas pg my biscuits p ssbhn kau n pmsok.pero pg 20 psok agad."
"Kel San","ok lang yan basta may unity.... mabubusog naman tayu ng unity diba? ginusto nyo yan.. wala kayung karapatang umangal... wag ipokrita"
"Muhairahslife MuhammadJohairah","Apat lima n po ang paminta dito, kya wla k n tlgang mabili s peso."
"Cleotilde Supnet","Dioskopo tlgang taas n mga bilihin ngayon. Tiyaga tiyaga lng"
"RD VA","bumili nang local product na low quality at mas mahal pa HAHAHA joke yarn?"
"Monsieur Kielle","Bumababa din ang halaga ng piso laban sa dollar dahil may inflation rate ding nangyayari sa US mas mataas pa nga ang inflation rate sa US kumpara sa atin nasa 8.60% ang kanila kaya humihina din ang piso. Dagdag mo pa sa dahilan yung pag sanction ng US at EU sa russia na naging dahilan ng pagtaas ng gasolina kaya pag tumaas ang gas tataas din ang mga bilihin. Kasalanan ng western country kaya ang mamahal ng bilihin."
"Peenoise Tolongges","Lord bbm ipamahagi mo na ang Talano gold please."
"RDG","The Venus Project o ang p1rated version nito ang tuluyang makakapaglunas sa inflation, debt, and socio-economic-structural inefficiencies."
"Ronnel Tequillo","matagal nang mahirap ang mundo nasa diskarte yan ng tao at gobyerno ng isang bansa. remember that 80% of millionaires in the world are self made. may mangyayari ba sa tao kung puro reklamo?"
"Prince Yusoph Mustapha","Candy lang poweding bilhin ng peso"
"Charles Padamada","Anung concrete plan ng gobyerno sa pamilyadong Filipino???"
"mud2 atacador","After 6yrs.mangyayari din sa atin Ang nangyayari ngaun sa Sri lanka.tatakas din Ang presidente dahil sa economic crisis"
"boy totpic RUCHIN","Puro diskarte sabihin mo bagsak na ang piso hindi diskarte..."
"Rj Gonzalez","Kasalanan ni panot ito. Hindi pinaghanda ang mga panahon tulad nito *"
"Ron Portuguez","Isama mopa Jan Ang pinataw na train law ni duterte"
"MUGENS GAME OUTPLAYED","ANTAY Q UNG MGA BUGUK N ISISISI S BAGUNG ADMINISTRASYUN UNG INFLATION NGAUN...  HAYS SAN N KAYA CLA "
"Cedrick Mingaracal","Mga politiko hindi nararanasan ang kahirapan..hahaha"
"wewyllenium","lahat tayo nandito sa comments poors ! kailangan natin magbadget"
"VM","Daptt pinas hindi ginagaya ang Amerika Inflation mahirap na nga buhay natin gagayahin, pa infalation. Tapos yung grade 7 and grade 8 ginaya rin mahirap na nga magpaaral ng bata dagdag taon pa sa eskwela."
"Jun Sampollo","Bakit naka pag pakulay pa Ng buhok ...."
"Cyberpsychosis","Solo parent with 6 kids. What the... Mare, putulin mo na yang vaginal tube mo! Anyway, buong bansa ang may inflation GMA."
"Johnny Deep","Tawagin niyo si Master Leni Lugaw! Hahaha"
"eiji nuweyi","Ginusto nyo yan Bhahahahaha i think desurvvvvv buti pa here sa japan ndi tumaas bilihin tama lang"
"jumayo tv","300 pesos na ulam sobrang laki Nayan ako nga 100 pesos Kaya ko paubutin hanggang bukas na ulam"
"Ramil Herrera","Galing kase ng bumoto kay duterte at marcos, gusto nila lubog pinas."
"Purita Falcasantos","Nakatakda nayan wag na kayo mgtaka pa lahat nman khit saan man sulok ng mundo ngmahal na ang lahat ng bilihin hndi lng sa pinas"
"Ronnie Carlos Pineda","Matagal na po yan huwag na niyo sisihin paghina ng piso. Kahit nung pandemic tuloy tuloy parin taas ng presyo."
"Gol D. Roger","Hindi niyo ba alam dikta lang ng iilang tao yang purchasing power ng mga currency at ang inflation?

Lahat yan gawa ng tao kaya nasa tao din ang solusyon diyan."
"Renz Ramientos","China nga ngayon may issue sa mga mortgages debts...pano pa tayo na di nman mayaman country natin.. I saw lots of bloggers in Thailand and Vietnam too, mahal ang mga oil prices so lahat nagmahal...so dapat madiskarte tlaga tayo kasi kahit US at China naghihirap pano pa kaya tayo...At wag tayo magreklamo masyado kasi wag kau anak ng anak di nman kau mayaman.."
"PV vlogs","Buong mundo po yan hindi lang sa Pilipinas 
Masewerte pa din tayo kahit papano 
Dito sa Middle East mas double ang taas kaysa sa Pilipinas
Nasa tao yan kung paano makaka raos huwag isisi sa gobyerno"
"caylee colonic wellness center","Paano yong wlng abroad gotom taga"
"lovers moon","Buong mundo mataas po bilihin. Híndi lng po sa pinas. God bless us all."
"shaira Mae Running","Piso maski candy hndi k mkabili"
"nyahahaha haha","Tapos gusto nyo alisin ang K-12? Saming mga OFW lang man din pala kayo aasa.. pag nawala nanaman ang k-12 maraming OFW nanaman ang mawawalan ng trabaho. Mga clown tlga mga to.."
"lourdes alcantara","Bakit kayo lang ba jan sa pinas kahit dto USA bigla din ang taas ang gas 5.60 dollar isang galon bilihin double itinaas buong mundo yan mag tanim kayo dto mga tao nag pipilit mag tanim kahit sa paso puro"
"Jam Bermudo","asan n un 31M.. hatiin n un sinasabi nu gold pag nanalo si BBM.."
"Michael Mnznrs","Ano ipambibili? Patawa."
"NellRene flowerhorn tv","Tapos 13t pa inutang ni digong pati ka apo apohan natin sa tuhod mag babayad padin nyan ewan q ba dami padin di magising sa katotohanan"
"ben delubyo","UNITY lang"
"Jake Flo","Yung support mo kay Sarah na sinamantala mo ang kahinaan Arnold na bigay mo ba?"
"BenteLog","PH government, naghihintay ng sakuna. kaya damay tayo lahat. dapat tangalin na income tax and vat at least makatipid ng kaunti pang dagdag gastos.

walang silbi ang PH government."
"Ang Taga Uma","San ba nagsimula ang mga pagmahal ng bilihin matapos nilang patalsikin si dating pangulong marcos.. Ngaun reklamo ng reklamo ang mga tao dahil nagmahalan ang bilihin sa kagagAwan din ng matatanda sila naman nagpatalsik kay marcos dahil yan sa lintik na edsa power na yan.. Nagpadala sa kamangmangan ano tayo ngaun naghihirap na."
"ג י Giovanni Laru-an","non lockdown sobrang hirap na daw buhay. Ngyun la nq lockdown. Hirap parin daw. Ano buh tlaga?"
"a k u m a","welcome sa golden age era ng mga Marcos!
hahaha
nutriban at bigas na may halong mais pasok!"
"jeffrey batobalani","Duterte + Marcos = Golden Egg "
"IM SORRY","Simula palang yan."
"Roger Docena",",reklamo kayo ng reklamo, nasa atin din nman ang problima,, ma mura man yan o hindi, wala talaga tayong kasiyahan,"
"jumayo tv","1k ngaun parang isang daan nalang"
"xckiel14","maslalong bumigat ngayon"
"KIBA","dagdag ka lang ng piso me lugaw ka na"
"ariba ariba","E wala e gera e. Mag rally nalang siguro kayo dun sa ukraine"
"Nan Moto","unity"
"soulbreak","UNITY LANG DAW"
"Franco R","Propaganda nyo lang Yan. Tagal ng ganyan Ngayon nyo lang pinansin. Bulokstyle"
"Ben Pico","Pumunta sa Ibang bansa baka Mas mura bilihin doon"
"Byron","Fake news ba to? 6.1%? We are not that high."
"Anit Cajurao","Yan ang ligacy ni Duterte!! Focus sa build build!! Sa drug on war!!! Kaysa economiyaa!!! Ngyun kulilat!!! Hahaha  kawawang henerasyon????? Isip isip????"
"Lodi Gitara","WTF! It's a world wide crisis don't try to sensationalize the issue! Mainstream media is just like a newspaper most of the content are negative."
"Dyos ko Porsanto","YAN NA ANG SINASABI KO. SABI KO WAG IPILIT O SUPPORTAAN SI BBM O LENI DAHIL MGA INCOMPETENT. YAN NA MGA SUPPORTER NI BBM. LALONG DADAMI ANG MGA KABATAAN NA MAGUGUTOM NANGDAHIL SA INYO.KAYO ANG TUNAY NA SALOT SA LIPUNAN.YAN NA ANG HINAHANAP NYO."
"Loukas Deus 207","Kahit sino pa presidente wala na halaga ung piso"
"Sumi Naturals","Golden Age lol"
"Craigslist Reply","ayon kay henyo alex gonzaga makakabili ka ng kausap sa halagang piso lamang"
"Vinz Dizon","D nmn kasalanan ni BBM yan kakaupo nya lang. kaso anu bang plano? unity pa din?"
"litz ortiz","anim ang anak hmmm "
"Knives 21","5:18 ung video nayan kay mang romy yan yung video nung YT vloger"
"Crispin Batiller jr","Asan na inupo nyo na SI bbm ..nakatutoknsa build build bweset nayan ..Yung economy Ang unahin nya mga pang Araw Araw na kailangan ..tao unahin nyo wag mga project nyo na kayo lang nagkikinabang..asan na Yung 20pesos per kilo Ng bigas ..puro pangako Nung naupo na wla na"
"John Manila","6.1 implasyon????....mali daw yan sabi ni president BBM....antayin nalang natin ang P20 na kilo ng bigas."
"Zandon Liu","Nd lng sa Pilipinas ang nagtaas ang halaga na bilihin,,,magtanim  khit sa paso,,,,"
"bernardmailman","yare na pinas kay bbm"
"Jeric Mores","Brief at panty nalng Ang bumababa ngaun.."
"bernardmailman","unity sagot jan"
"Lily Caldito","Puro kayu reklamo  kahit ganyan ka hirap sa Pinas Mas gusto ko PA sa Pinas, pagtiagaan niu kung ano meron, 67 yrs old ako"
"Eliyahu","Pwede naman tayong magtanim na sa ating bakuran. Kung walang lupa mag improvise. Meron tayong nakasanayan na gastos na pwede namang itigil muna. Katulad nang limitahan ang paggamit ng mobile phone. Yung mga pwedeng lakarin ay huwag nang sumakay. Tinatrabaho na ngayon ang DA para makaprovide satin ng pagkaing mura."
"Eric Encina","inflation, don't forget, is caused by government debt, and now dahil global inflation na, CAUSED BY THE GLOBAL DEBTS OF US$1 Quadrillion na raw as of 2022. MORE DEBTS MORE INFLATION."
"it's Dale","NO SHIP SHERLOCK."
"Gameplay Tube","Pamana ni Du30"
"Amor Scott","Kahit saang bansa nagtaasan ang presyo, Hindi lng Pilipinas.dala Ng pagtaas Ng gasolina at mula nagkameron Ng war s Ukraine at Russia,apektado lahat"
"lourdes alcantara","Umuwe kayo sa probensiya mag tanim kayo puro kayo reklamo diyos ko po"
"Gabriel Gomez","Kayong mga Demonyong BBM fanatics mga hayop kayo...
saan na pinagmamalaking nyong Golden Age mga hayop kayo.."
"FK off","DUTERTE LEGACY"
"Elmar Labrador","Mom, mommy, Mah.. haha fake news"
"Cristine Villanueva","Candy nlang"
"ZionAmi FranzyTV","Fake news"
"emjay 08","2022 na ata ngayon diba?  Kung palagi mo nalang sinasabi na dati dati dati at dati lol.  Parang edad mo lang yan dati 8 yrs old ka lang ngayon 45 yrs old kana basic sample lang yan para maintindihan mo kung paano tumataas ang halaga ng lahat.  Take note di lang sa pinas yan kundi sa buong mundo."
"Czar Cast Thick","Kasalanan ni BBM "
"RiRi Gala","Hindi totoo yan. Kanina lang, kung pikit mata bumibili ordinaryong tao sa foodcourt ng P40 na extra rice, P300 na sisig, P450 na bulalo, P90 na 1 stick pork bbq, at naubos nila pagkain ng stalls  ng 6pm palang, MARAMING PERA ANG PINOY."
"Ak Ak","Pisti ka BBM. isa ka palang budol. Isan kang sumpa na dumapo sa bansang ito. SImula nang maupo ka eh nababoy n ang ekonomiya. Ok n ok naman panahon ni Duterte."
"Mhonsky Lopez","Inflation is all over the world….hopefully walang maninisi kay PBBM he just got in the office, let him do his work first "
"easy cooking show","Bakit po reklamo ng reklamo,talaga Naman taon taon nag tataas,para Naman kayong hindi na nasanay,tsaka sa una lang Ang reklamo masasanay din tayo hanggang sa Wala ng magagawa"
"Cholo Dianito","Ngayon mapapa2nayan ni BBM na Sha ang karapat dapat talagang maging pangulo."
"Haaey 11","Golden Age"
"Leo","dapat mag tau na ng locals na mura lang ang bilihin , hindi ung puro mahal ang presyo, hindi ung puro imported at mahal ng dahil dahil sa Gasolina, mura lang dapat ang gulay at karne kc wla nm crisis   at shortage , manipulating lang, mag kabayo nalang kau at kalabaw para wla ng gasolina ,ibalik nyu nalang kalesa"
"Nono Griego","Dahilan pag taas ng dolyar?. Kalokohan yan.."
"Jelyn Jamero","Sana tumaas din ang sahod.."
"KenKen","Kalokohan na 3% jusko lahat nag taas paraho grocery nmin nun last year halos 1/3 nadagdag price baka 33%"
"Ab by","Then Jesus said to the crowds and to his disciples: “The teachers of the law and the Pharisees sit in Moses’ seat. So you must be careful to do everything they tell you. But do not do what they do, for they do not practice what they preach. They tie up heavy cumbersome loads and put them on other people’s shoulders, but they themselves are not willing to lift a finger to move them. Everything they do is done for people to see: They make their phylacteries wide and the tassels on their garments long; they love the place of honor at banquets and the most important seats in the synagogues; they love to be greeted with respect in the marketplaces and to be called ‘Rabbi’ by others."
"Fma International","Latest Survey Result MARCOS!!!... 64%..."
"Jefrey Delarosa","Hahah bulok . Peke yan"
"Crypto Daily","Fake news"
"ziggy tzy","We're Doomed"
"Francis Guison","0:40 :|"
"Mediocre Me","We're fucked"
"Gray Ans","Lol"
"Kvin Novelozo","likas naman mayaman ang pilipinas kung gagamitin lang nila ang yaman ng pilipinas gaya ng gas cguro di na tayo aasa sa ibang bansa at kaya na natin makipag sabayan sa mayayamang bansa,"
"Jirbi Tompong","Dapat ipaaga din ang mga sahod.para maka uwi sa pag bobotohan ang nasa malalayo.gaya ko taga montalban pa  tapos nag bobord pa dito sa alabang."
"anon anon","This is just the beginning. The worst is coming very soon."
"Seph","the problem with rate hike is that it might even push the currency higher. It will rendering our export sector even more weaker and discouraging them to hire more workers and raise salaries. Also, it will even encourage OFW families who owns foreign currencies to delay spending, since their earnings have been badly hurt. As we've seen these past few months, the strength of the peso doesn't seem to mitigate the rise of inflation rates. The gov't must find ways to properly allocate its spending, so that it doesn't have to depend solely on the bangko sentral's interventions."
"Mark Mitchell","It's very easy to see everything is going up in prices this news report may say inflation rises 4.2 percent but realistically in the market up to the supermarkets everything is going up much more
A 20 peso increase on a 140 peso item is more than 4.2 percent"
"Raime, The Last Faithful man","We are in the time of Famine even loaf of bread costs entire day wages"
"RIVEN TV","Inflation is not necessarily too bad, well maybe"
"Bernardo Rizon","One more year of hardship by the unqualified head."
"Sana Shy","This is terrible, and will get even worse in the next few months."
"김류시","Our country is just gonna end up like Venezuela."
"Gene Anthony","Another achievement for tatay Doging "
"Red8","ginto ang presyo ng mga gulay karne"
"Neil&Marie# the travellers#","Very clever man"
"Renlee Dativo","Corruption."
"John Reck","If possible you should get some land and start raising rabbit chicken goat pigs and growing vegetables. Start preparing for a future of food insecurity and large hikes in inflation. Invest now to prepare for a future that is very unstable."
"half pinoy416","There is no inflation according to DDS"
"PSXBOX6337","wag ninyong sinasabi yan, magagalit ang mga dds. kasalanan ""daw"" ng mga nakaraang administrasyon yan"
"Darkness Void","Tatak Duterte!"
"Jocel Diaz","Ano daw"
"Ryan Vincent Cordova","Economic activity creates inflation even in the best of times. Remember we are in a position of not just restarting the economy but actually revving the economy BEYOND pre-pandemic levels - expect our inflation to be on the high side while supply and demand are still trying to find equilibrium. "
"JEFFERSON AGALOOS","NapakaHusay"
"DarwenZonio","Sana ganito ang tv patrol,ganda ng effects"
"Cynthia Gonzaga","Good job for explaining.thanks"
"Rain Patch","Mabuti may news outlet nag explain, akala kasi lagi ng elites is sa Ph lang nangyayari tong inflation "
"lira ashsa escalona","Thank you ABS CBN."
"SweetPotato","Dapat po mag create ng maraming trabaho,,,dapat po trabaho ang ibigay sa mga tao,,hindi po ayuda,,,pag po meron naman pong puede pang magtrabaho sa pamilya,, dapat po trabaho ang ibigay Okay pong bigyan ng ayuda yong hindi na puedeng magtrabaho,,at dapat po pababain ang presyo ng mga bilihin,,,yong marami ng mabibili sa murang halaga"
"Milhouse","Golden Age of Inflation ️

Unitiis ang solusyon."
